COUNTRY,TOTAL 
ALBANIA,4 
ANDORRA,5 
ANGOLA,2 
ANGUILLA ,1 
ANTIGUA AND BARBUDA,1 
ARGENTINA,10 
ARUBA,3 
AUSTRALIA,146953 
AUSTRIA,2391 
BAHAMAS,2 
BAHRAIN,68 
BANGLADESH,14 
BELGIUM,3947 
BERMUDA,6 
BOLIVIA,1 
BOSNIA AND HERZEGOVINA,3 
BRAZIL,18 
BRITISH VIRGIN ISLANDS,2 
BRUNEI DARUSSALAM,28 
BULGARIA,57 
CANADA,512638 
CAYMAN ISLANDS,9 
CHANNEL ISLAND,1 
CHILE,41 
CHINA (P.R.O.C.),93 
COCOS (KEELING) ISLAND,1 
COLOMBIA,2 
COSTA RICA,5 
CROATIA,19 
CYPRUS,55 
CZECH REPUBLIC,25 
DEMOCRATIC KAMPUCHEA,1 
DEMOCRATIC REPUBLIC OF THE CONGO (ZAIRE),2 
DENMARK,1780 
DOMINICAN REPUBLIC,1 
ECUADOR,1 
EGYPT,30 
ESTONIA,5 
ETHIOPIA,1 
FAROE ISLANDS,3 
FALKLAND ISLANDS (MALVINAS),2 
FIJI,3 
FINLAND,1087 
FRANCE,3419 
FRENCH POLYNESIA,3 
GABON,1 
GERMANY,18516 
GHANA,1 
GIBRALTAR,1 
REECE,130 
GREENLAND,11 
HONGKONG,406 
HUNGARY,34 
ICELAND,371 
INDIA,238 
INDONESIA,50 
IRAN,12 
IRAQ,6 
IRELAND,1947 
ISLE OF MAN,9 
ISRAEL,55 
ITALY,41946 
JAPAN,156120 
JORDAN,108 
KAZAKHSTAN,1 
KIRIBATI,1 
KUWAIT,99 
LATVIA,2 
LEBANON,22 
LEICHTENSTEIN,9 
LESOTHO,5 
LIBERIA,4 
LIBYA,11 
LITHUANIA,4 
LUXEMBOURG,52 
MACAU,56 
MACEDONIA,4 
MALAYSIA,323 
MALDIVES,2 
MALTA,80 
MARSHALL ISLANDS,8 
MAURITIUS,2 
MEXICO,52 
MIDWAY ISLAND,2 
MONACO,8 
MOROCCO,2 
MYANMAR (BURMA),4 
NAMIBIA,3 
NEPAL,2 
NETHERLANDS,5717 
NETHERLANDS ANTILLES,4 
NEW CALEDONIA,14 
NEW ZEALAND,23767 
NIGERIA,23 
NORWAY,8293 
OMAN,22 
PACIFIC ISLANDS,1 
PAKISTAN,67 
PALAU,5 
PANAMA,2 
PAPUA NEW GUINEA,70 
PERU,2 
POLAND,61 
PORTUGAL,129 
PUERTO RICO,54 
QATAR,15 
ROMANIA,95 
RUSSIAN FEDERATION / USSR,6 
SAN MARINO,2 
SAUDI ARABIA,249 
SEYCHELLES,1 
SINGAPORE,160 
SLOVAK REPUBLIC,18 
SLOVENIA,43 
SOLOMON ISLANDS,5 
SOUTH AFRICA,42 
SOUTH KOREA,16993 
SPAIN,16429 
SRI LANKA,21 
SUDAN,7 
SWEDEN,7675 
SWITZERLAND,3096 
SYRIA,6 
TAIWAN (ROC),5554 
THAILAND,84 
TRINIDAD AND TOBAGO,3 
TUNISIA,1 
TURKEY,345 
TURKS AND CAICOS ISLANDS,1 
UGANDA,1 
UKRAINE,5 
UNITED ARAB EMIRATES,470 
UNITED KINGDOM,19375 
UNITED STATES OF AMERICA,1513314 
URUGUAY,1 
VANUATU,1 
VENEZUELA,4 
VIETNAM,2 
WAKE ISLAND,1 
YEMEN,2 
YUGOSLAVIA (Serbia & Montenegro),8 
GRAND TOTAL,2515729 
